月份,大樂透銷售總額,威力彩銷售總額,今彩539銷售總額,電腦型彩券總銷售額,大樂透銷售注數,威力彩銷售注數,今彩539銷售注數,電腦型彩券總銷售注數,大樂透開獎期數,威力彩開獎期數,今彩539開獎期數,電腦型彩券總開獎期數,大樂透單月最高總獎金,威力彩單月最高總獎金,今彩539單月最高總獎金,當月最高總獎金,大樂透平均每期銷售額,威力彩平均每期銷售額,今彩539平均每期銷售額,電腦型彩券平均每期銷售額
2018-09,954910000,707746400,720986650,2383643050,19098200,7077464,14419733,40595397,8,8,25,41,200756049,628218221,36774400,628218221,119363750.0,88468300.0,28839466.0,58137635.36585366
2018-10,783120950,2263571800,806146650,3852839400,15662419,22635718,16122933,54421070,9,9,27,45,145999970,1414086667,37330300,1414086667,87013438.8888889,251507977.7777778,29857283.333333332,85618653.33333333
2018-11,800353200,1586632200,786467250,3173452650,16007064,15866322,15729345,47602731,9,9,26,44,246152028,1863579020,43865694,1863579020,88928133.33333333,176292466.66666666,30248740.384615384,72123923.86363636
2018-12,845877400,432696700,818033000,2096607100,16917548,4326967,16360660,37605175,8,9,26,43,376983672,184050550,34081800,376983672,105734675.0,48077411.11111111,31462807.692307692,48758304.65116279
2019-01,989026450,491378700,898045600,2378450750,19780529,4913787,17960912,42655228,9,9,27,45,320837008,286157715,36591200,320837008,109891827.77777778,54597633.333333336,33260948.14814815,52854461.11111111
2019-02,3765848900,842786200,886727950,5495363050,75316978,8427862,17734559,101479399,15,8,24,47,457609508,554775269,35658600,554775269,251056593.33333337,105348275.0,36946997.916666664,116922618.08510639
2019-03,831386900,400853000,839463550,2071703450,16627738,4008530,16789271,37425539,9,8,26,43,137774702,157087631,33466200,157087631,92376322.22222222,50106625.0,32287059.615384616,48179150.0
2019-04,805024200,445904400,808516950,2059445550,16100484,4459044,16170339,36729867,9,9,26,44,222593495,270481017,31788400,270481017,89447133.33333333,49544933.333333336,31096805.769230768,46805580.68181818
2019-05,1068002250,550056900,820593850,2438653000,21360045,5500569,16411877,43272491,9,9,27,45,398178422,461799104,33932550,461799104,118666916.66666669,61117433.333333336,30392364.814814813,54192288.88888889
2019-06,1054768900,977348700,730227550,2762345150,21095378,9773487,14604551,45473416,8,8,25,41,329456969,758035348,31642050,758035348,131846112.5,122168587.5,29209102.0,67374271.95121951
2019-07,970360300,2220980500,793725900,3985066700,19407206,22209805,15874518,57491529,9,9,27,45,459611641,1483527323,25798200,1483527323,107817811.1111111,246775611.1111111,29397255.555555556,88557037.77777778
2019-08,805249350,2503873700,816443500,4125566550,16104987,25038737,16328870,57472594,9,9,27,45,240545324,2239573397,32025150,2239573397,89472150.0,278208188.8888889,30238648.14814815,91679256.66666667
2019-09,1387806750,677410500,737852250,2803069500,27756135,6774105,14757045,49287285,8,9,25,42,569737698,509242034,24701050,569737698,173475843.75,75267833.33333333,29514090.0,66739750.0
2019-10,1487941750,704771300,831449150,3024162200,29758835,7047713,16628983,53435531,9,9,27,45,852777990,708572253,36479050,852777990,165326861.1111111,78307922.22222222,30794412.962962963,67203604.44444445
2019-11,877905000,406225700,820561550,2104692250,17558100,4062257,16411231,38031588,9,8,26,43,247497991,178386233,31985600,247497991,97545000.0,50778212.5,31560059.615384616,48946331.39534884
2019-12,886939150,517204000,826229050,2230372200,17738783,5172040,16524581,39435404,9,9,26,44,294561440,345004119,36229350,345004119,98548794.44444443,57467111.11111111,31778040.384615384,50690277.27272727
2020-01,2990189750,648339100,983394900,4621923750,59803795,6483391,19667898,85955084,15,9,27,51,356160843,410462972,43391750,410462972,199345983.33333337,72037677.77777778,36422033.333333336,90625955.88235295
2020-02,1436114050,555640000,912036550,2903790600,28722281,5556400,18240731,52519412,10,8,25,43,479436856,512251379,38108950,512251379,143611405.0,69455000.0,36481462.0,67530013.95348836
2020-03,1063224100,438139000,911257900,2412621000,21264482,4381390,18225158,43871030,9,9,26,44,418426949,229479120,38415000,418426949,118136011.1111111,48682111.11111111,35048380.76923077,54832295.45454545
2020-04,1691914600,496450100,906954050,3095318750,33838292,4964501,18139081,56941874,8,9,26,43,859329281,383119530,46138047,859329281,211489325.0,55161122.222222224,34882848.07692308,71984156.97674419
2020-05,1369267000,706171400,901882750,2977321150,27385340,7061714,18037655,52484709,9,8,26,43,1070088576,605799091,35747450,1070088576,152140777.7777778,88271425.0,34687798.07692308,69240026.74418604
2020-06,1142208600,1735297000,1006383100,3883888700,22844172,17352970,20127662,60324804,9,9,26,44,192285504,1181584966,51988300,1181584966,126912066.66666669,192810777.7777778,38707042.307692304,88270197.72727273
2020-07,1032598600,6793515600,1013209200,8839323400,20651972,67935156,20264184,108851312,9,9,27,45,202988683,3633111827,43402150,3633111827,114733177.77777778,754835066.6666666,37526266.666666664,196429408.8888889
2020-08,762043500,733347800,997531800,2492923100,15240870,7333478,19950636,42524984,8,9,26,43,160436250,496164371,41894900,496164371,95255437.5,81483088.8888889,38366607.692307696,57974955.81395349
2020-09,1061192300,706452700,946241450,2713886450,21223846,7064527,18924829,47213202,9,8,26,43,161612636,680712721,36038100,680712721,117910255.55555557,88306587.5,36393901.92307692,63113638.37209302
2020-10,1058328950,596206800,984521400,2639057150,21166579,5962068,19690428,46819075,9,9,27,45,193359740,330970587,46343000,330970587,117592105.55555557,66245200.0,36463755.55555555,58645714.44444445
2020-11,864072400,603332400,906706950,2374111750,17281448,6033324,18134139,41448911,8,9,25,42,343555754,411012945,35560100,411012945,108009050.0,67036933.333333336,36268278.0,56526470.23809524
2020-12,1061063200,475752600,983592950,2520408750,21221264,4757526,19671859,45650649,9,9,27,45,488155897,210245178,42226000,488155897,117895911.1111111,52861400.0,36429368.518518515,56009083.333333336
2021-01,1081221750,501638000,965078900,2547938650,21624435,5016380,19301578,45942393,9,8,26,43,399250603,382947870,35995300,399250603,120135750.0,62704750.0,37118419.23076923,59254387.20930233
2021-02,4027340250,1279491300,1059002550,6365834100,80546805,12794913,21180051,114521769,17,8,24,49,621486856,793716957,44323650,793716957,236902367.6470588,159936412.5,44125106.25,129914981.63265306
